run_id,seed,scenario_id,replicate_id,scenario_seed,algorithm_seed,algorithm,fitness,reported_fitness,base_fitness,search_fitness,penalty_scale,report_penalty_scale,search_penalty,report_penalty,energy_norm,delay_norm,aoi_norm,energy,delay,aoi,qoe,fairness,csr,nfe_used,max_evaluations,runtime,experiment,lambda0,alpha
23,4083520376,23,1,4083520376,3043648279,RDHO,0.9133542961449396,0.9133542961449396,0.6633542961449397,1.0383542961449397,1.5,1.0,0.375,0.25,0.7786558532220627,1.0215407382333133,0.9998783778389984,92.96019313982836,1.5893562855792056,1.9296587995197405,0.345022687734092,0.8815807848305737,0.75,15011,15050,9.395937300287189,dynamic_penalty,0.5,1.0
24,4085768467,24,1,4085768467,3045896370,RDHO,1.0763208393185657,1.0763208393185657,0.7263208393185657,1.2513208393185655,1.5,1.0,0.5249999999999999,0.35,0.660281920663931,1.1571641693056829,1.2415795180511822,90.32774895907475,2.087774497181821,2.430067563427781,0.3257328794685687,0.8527150316798823,0.65,15011,15050,9.371611600276085,dynamic_penalty,0.5,1.0
25,4088016558,25,1,4088016558,3048144461,RDHO,0.9959957227001126,0.9959957227001126,0.704329056033446,1.141829056033446,1.5,1.0,0.4374999999999999,0.2916666666666666,0.8229929718432633,1.1507725197937713,1.0810539301798014,106.13612242785666,1.514414199164618,1.7963298236127023,0.3226140415325316,0.9091721734597464,0.7083333333333334,15011,15050,9.393699400126934,dynamic_penalty,0.5,1.0
26,4090264649,26,1,4090264649,3050392552,RDHO,1.2021379537623949,1.2021379537623949,0.7938046204290615,1.4063046204290617,1.5,1.0,0.6125,0.4083333333333333,0.876625536420691,1.348547749121949,1.279126833685775,120.62916658529142,1.8354817549815337,2.1340600624533947,0.2982138255038516,0.8849731310541062,0.5916666666666667,15011,15050,9.296696400269866,dynamic_penalty,0.5,1.0
27,4092512740,27,1,4092512740,3052640643,RDHO,0.958664801273251,0.958664801273251,0.683664801273251,1.096164801273251,1.5,1.0,0.4125,0.275,0.7889700199968652,1.061041637040171,1.0565288703535125,110.94996216449346,1.5657383838885175,1.89270064992344,0.3266516762652006,0.893919209146827,0.725,15011,15050,9.3039505998604,dynamic_penalty,0.5,1.0
28,4094760831,28,1,4094760831,3054888734,RDHO,1.1555513383418097,1.1555513383418097,0.7555513383418095,1.3555513383418096,1.5,1.0,0.6000000000000001,0.4,0.6740577981800333,1.339119126029831,1.2854019757303607,80.32644980581017,1.790000146923687,2.049338268453304,0.3095879931262025,0.9044343886167666,0.6,15011,15050,9.430197199806573,dynamic_penalty,0.5,1.0
29,4097008922,29,1,4097008922,3057136825,RDHO,0.8174252540492517,0.8174252540492517,0.5924252540492517,0.9299252540492516,1.5,1.0,0.3374999999999999,0.2249999999999999,0.5599631949404797,0.9265567742753694,0.9156357501801502,63.478426271611966,1.557992525923772,1.8831922575231173,0.3433401791818104,0.9113793862948129,0.775,15011,15050,9.182225899770856,dynamic_penalty,0.5,1.0
30,76308728,30,1,76308728,3331403927,RDHO,1.035537144322492,1.035537144322492,0.6938704776558254,1.2063704776558253,1.5,1.0,0.5125,0.3416666666666667,0.5603558895958874,1.2671898407250408,1.1522947845330396,72.19133911234198,1.5113395893034096,1.7931068467729523,0.3303215337927513,0.9125598214029356,0.6583333333333333,15011,15050,9.2122980998829,dynamic_penalty,0.5,1.0
1,684064704,1,1,684064704,1921995125,RDHO,1.0935745975336195,1.0935745975336195,0.7519079308669528,2.289407930866953,4.5,1.0,1.5375,0.3416666666666667,0.8525998894864655,1.270560764687627,1.1663030929474547,103.34669722235924,1.7207413966953644,2.0335440037471404,0.3163114011157539,0.8829957422788541,0.6583333333333333,15011,15050,9.384005200117826,dynamic_penalty,0.5,2.0
2,686312795,2,1,686312795,1924243216,RDHO,0.9592186281780648,0.9592186281780648,0.6842186281780647,1.9217186281780647,4.5,1.0,1.2375,0.275,0.6245803457406062,1.142527051219364,1.095433030700228,70.07063960594365,1.7925068063667031,2.1289962739954507,0.3195627722909823,0.8801735777329235,0.725,15011,15050,9.417144699953496,dynamic_penalty,0.5,2.0
