seed,algorithm,status,fitness,csr
20260724,RIME,success,1.5909575302514007,0.55833333333333335
20260724,DBO,success,1.1376817909024561,0.59999999999999998
20260724,TLBO-HHO,success,1.2444823947004777,0.60833333333333328
20260724,CWTSSA,success,1.2862784402544332,0.59166666666666667
20260724,Greedy-ED,success,1.1075333077492631,0.64166666666666672
20260725,RDHO,success,0.88315997885299924,0.73333333333333328
20260725,RIME,success,1.6912443709179137,0.45833333333333331
20260725,DBO,success,1.1546349681401429,0.625
20260725,TLBO-HHO,success,1.1104252065899056,0.64166666666666672
20260725,CWTSSA,success,1.3350130081104647,0.57499999999999996
20260725,Greedy-ED,success,1.0931147365034906,0.625
20260726,RDHO,success,1.0291269854807545,0.68333333333333335
20260726,RIME,success,1.6433943780017404,0.48333333333333334
20260726,DBO,success,1.2288199438102887,0.60833333333333328
20260726,TLBO-HHO,success,1.21097805955795,0.59999999999999998
20260726,CWTSSA,success,1.3461316259091851,0.56666666666666665
20260726,Greedy-ED,success,1.1068299027297188,0.6166666666666667
20260727,RDHO,success,0.8329626031917915,0.76666666666666672
20260727,RIME,success,1.5179144211375539,0.55000000000000004
20260727,DBO,success,1.1635804942944379,0.65833333333333333
20260727,TLBO-HHO,success,1.2067069257794463,0.56666666666666665
20260727,CWTSSA,success,1.1202379105395504,0.60833333333333328
20260727,Greedy-ED,success,0.88760771340441735,0.73333333333333328
20260728,RDHO,success,0.90108726962351215,0.7416666666666667
20260728,RIME,success,1.6200159598384407,0.51666666666666672
20260728,DBO,success,1.1438310986733493,0.66666666666666663
20260728,TLBO-HHO,success,1.2437138378720789,0.59999999999999998
20260728,CWTSSA,success,1.1405278696187768,0.6166666666666667
20260728,Greedy-ED,success,1.0009113861312455,0.67500000000000004
20260729,RDHO,success,1.0372480902091166,0.67500000000000004
20260729,RIME,success,1.6514372688595591,0.49166666666666664
20260729,DBO,success,1.3436584262006792,0.56666666666666665
20260729,TLBO-HHO,success,1.4200060462895876,0.53333333333333333
20260729,CWTSSA,success,1.3784321708176894,0.55833333333333335
20260729,Greedy-ED,success,1.1630750566551284,0.59999999999999998
20260730,RDHO,success,1.0265251430305788,0.70833333333333337
20260730,RIME,success,1.4278390325956185,0.55000000000000004
20260730,DBO,success,1.2639902466798927,0.58333333333333337
20260730,TLBO-HHO,success,1.4458202128217252,0.5083333333333333
20260730,CWTSSA,success,1.327374195123642,0.53333333333333333
20260730,Greedy-ED,success,1.0828782832475214,0.64166666666666672
