run_id,seed,algorithm,fitness,base_objective,penalty,search_fitness,energy,delay,aoi,qoe,fairness,csr,hard_feasible,capacity_utilisation_mean,capacity_utilisation_max,assignment_unique,runtime,nfe,pre_refinement_fitness,local_refinement_gain,experiment,setting,description,weights,w_energy,w_delay,w_aoi,w_qoe,w_fairness
15,20260715,RDHO,1.0669572929067992,0.7919572929067991,0.275,3.266957292906799,91.3132435899017,1.716895651950055,1.9819932681529215,0.420746912404205,0.9392002945625212,0.725,1,0.7852000367642277,1.0000000000000002,1,9.043547708000006,10232,1.1492210468671806,0.0822637539603814,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
16,20260716,RDHO,1.0214860714677003,0.7131527381343672,0.3083333333333333,3.4881527381343673,69.80248290918554,1.7264979687452031,2.0056336164046917,0.442587232072291,0.942425023715161,0.6916666666666667,1,0.7710091836912496,1.0000000000000002,1,8.910722458999999,10232,1.0226835413553172,0.0011974698876167,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
17,20260717,RDHO,1.147442880030023,0.8057762133633561,0.3416666666666667,3.880776213363356,107.53553129227984,1.9916725718822752,2.306335264846758,0.4199547362707974,0.8999054438856963,0.6583333333333333,1,0.8461257715825756,1.0,1,9.018155332999982,10232,1.1837573011442473,0.0363144211142243,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
18,20260718,RDHO,0.8968990133907905,0.6802323467241238,0.2166666666666666,2.630232346724124,105.38136844603984,1.9573747160601576,2.3094019272712005,0.4665010227856476,0.923837220615877,0.7833333333333333,1,0.797292978198139,1.0000000000000002,1,8.93167570899999,10232,0.9157220009691812,0.0188229875783906,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
19,20260719,RDHO,1.005490750215552,0.7388240835488852,0.2666666666666667,3.1388240835488856,105.19781029423469,1.5973812954750777,1.8939477888847631,0.4587955100449258,0.8844693339982415,0.7333333333333333,1,0.7921975970419265,1.0,1,9.121344375000035,10232,1.0276542174859364,0.0221634672703845,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
20,20260720,RDHO,0.9059315440453296,0.6642648773786629,0.2416666666666667,2.839264877378663,74.79781280557411,1.7622118872819872,2.0881488035615345,0.4818539814353448,0.8918939995575482,0.7583333333333333,1,0.7836003366701925,1.0,1,8.858288000000016,10232,0.9460947987843332,0.0401632547390037,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
21,20260721,RDHO,1.0546484289431055,0.7629817622764392,0.2916666666666666,3.3879817622764388,101.75378815825816,1.9967675126500353,2.3532778839087003,0.4250585641368504,0.9266802999973384,0.7083333333333334,1,0.780687829165742,1.0,1,9.088393666999991,10232,1.071753430020268,0.0171050010771622,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
22,20260722,RDHO,0.818806745289733,0.593806745289733,0.2249999999999999,2.618806745289733,87.1190072615057,1.5344098826256165,1.8683674402762815,0.5021171147689386,0.94562690664522,0.775,1,0.8022588784720296,1.0,1,8.49486354100003,10232,0.8504450571702836,0.0316383118805506,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
23,20260723,RDHO,0.8135731784769641,0.6052398451436307,0.2083333333333333,2.480239845143631,69.9066379862494,2.0595645349832408,2.44506694712165,0.4916782182431936,0.9534274253667018,0.7916666666666666,1,0.7483369443522494,1.0000000000000002,1,7.943387125000015,10232,1.0797479568263273,0.2661747783493632,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
24,20260724,RDHO,1.0156468386905306,0.7323135053571974,0.2833333333333333,3.2823135053571972,48.276979941975064,1.8610215344443983,2.140877405154715,0.4524499005010151,0.90859966799761,0.7166666666666667,1,0.7693037644781977,1.0000000000000002,1,8.047431750000044,10232,1.0837804358844334,0.0681335971939027,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
25,20260725,RDHO,0.948241307216568,0.6899079738832348,0.2583333333333333,3.0149079738832345,74.30802148546208,2.116403043567142,2.497891455394788,0.4599663799902258,0.9363776291864744,0.7416666666666667,1,0.8262292154006019,1.0000000000000002,1,7.895741874999999,10232,1.0005841994067168,0.0523428921901487,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
26,20260726,RDHO,1.0874915143036397,0.7791581809703063,0.3083333333333333,3.5541581809703064,105.60371330283256,2.0047110548106413,2.343912273762785,0.4405068534227869,0.902067761224138,0.6916666666666667,1,0.7449315402584992,1.0,1,7.916824125000005,10232,1.1082702990217044,0.0207787847180647,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
27,20260727,RDHO,0.8954437170283861,0.6621103836950528,0.2333333333333332,2.7621103836950525,131.1242381521034,1.8671917626737815,2.2349153741784145,0.4590008223119827,0.949590774848498,0.7666666666666667,1,0.7818374680589814,1.0,1,7.981216542000027,10232,0.901517669285291,0.0060739522569048,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
28,20260728,RDHO,0.961237382706752,0.6945707160400852,0.2666666666666667,3.0945707160400855,64.8369688590536,1.6075353456953796,1.9250638177696793,0.4576047151282824,0.923378805911694,0.7333333333333333,1,0.8363005619607801,1.0000000000000002,1,7.882237583000005,10232,1.0148448238540522,0.0536074411473002,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
29,20260729,RDHO,1.0935301291306323,0.7768634624639658,0.3166666666666666,3.6268634624639655,119.47415558031356,1.8690981684010772,2.1793233701232935,0.4127134214616723,0.882636165570879,0.6833333333333333,1,0.8849114075469945,1.0,1,8.028042833999962,10232,1.161676661692066,0.0681465325614336,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
