run_id,seed,algorithm,fitness,energy,delay,aoi,qoe,fairness,csr,runtime,experiment,lambda0,alpha
6,20260706,RDHO,0.8881636013405995,87.40239555187205,1.4466754470535945,1.7488912882231733,0.32787763080178384,0.9174511421088751,0.7416666666666667,4.3615111000835896,dynamic_penalty,1.0,2.0
7,20260707,RDHO,0.914740705540313,75.73966176489226,1.3355777377583002,1.654560957288235,0.33777803154324976,0.9207352128617551,0.725,4.392383699771017,dynamic_penalty,1.0,2.0
8,20260708,RDHO,0.971638570910573,70.0227313312558,1.6425300555945825,1.93203818046493,0.32939977460259773,0.9012537432197982,0.6916666666666667,4.329115899745375,dynamic_penalty,1.0,2.0
9,20260709,RDHO,1.1595646500254881,131.78991544183606,1.8951937769391116,2.2043701000377034,0.2800771247320313,0.8823735481777818,0.6333333333333333,4.435773300006986,dynamic_penalty,1.0,2.0
10,20260710,RDHO,0.9508236945004847,82.46873672229759,1.9139758845522976,2.287204518566421,0.3329403761065333,0.9103672561248444,0.7166666666666667,4.381209199782461,dynamic_penalty,1.0,2.0
11,20260711,RDHO,1.0883122900478361,102.42163764343732,1.7481610502368254,2.0600729415538743,0.31338184176445233,0.9088629963327621,0.625,4.377209499944001,dynamic_penalty,1.0,2.0
12,20260712,RDHO,0.9228214051197459,80.91500192649718,1.7984511178456881,2.182763730451849,0.34402167952032814,0.908035068217196,0.7416666666666667,4.474278199952096,dynamic_penalty,1.0,2.0
13,20260713,RDHO,0.896712046895456,55.53136743370658,1.4124279733890195,1.6872219285434287,0.3464294360958614,0.9162618357338065,0.7083333333333334,4.364839099813253,dynamic_penalty,1.0,2.0
14,20260714,RDHO,0.9016151201342766,63.936209035234924,1.66402253191247,2.0084608542761178,0.3591641790766852,0.9031031046367936,0.7166666666666667,4.416946699842811,dynamic_penalty,1.0,2.0
15,20260715,RDHO,0.8984573198454218,83.77690085499023,1.669969426664668,2.02432197696362,0.3353514253302582,0.9075320677878703,0.75,4.419705499894917,dynamic_penalty,1.0,2.0
16,20260716,RDHO,0.9507223078620766,100.1933365521316,1.517155120006732,1.8373618534778995,0.31780135420470546,0.9073632200182432,0.7166666666666667,4.383076900150627,dynamic_penalty,1.0,2.0
17,20260717,RDHO,0.9888455368318766,64.34057259479269,1.8286057689505022,2.152193057505292,0.32308103759888585,0.9019065135917333,0.7,4.453477699775249,dynamic_penalty,1.0,2.0
18,20260718,RDHO,0.9135161204788317,91.78371252157486,1.5696545221830178,1.8974553634615028,0.3314141944597494,0.903410052203619,0.725,4.395192199852318,dynamic_penalty,1.0,2.0
19,20260719,RDHO,0.9315386810976218,71.69411876136917,1.6166260985550074,1.9400065650753835,0.33951239191429167,0.8870157115278171,0.7166666666666667,4.311413200106472,dynamic_penalty,1.0,2.0
20,20260720,RDHO,0.8593828919580927,105.30479079745297,1.4839324081429535,1.8183554044124193,0.33855436566696895,0.8938701071545431,0.775,4.505811200011522,dynamic_penalty,1.0,2.0
21,20260721,RDHO,0.9530603315703031,81.1140053912325,1.4657831056656403,1.799468387453554,0.33790073047634356,0.9016390598381232,0.7166666666666667,4.6127628004178405,dynamic_penalty,1.0,2.0
22,20260722,RDHO,1.028372364606561,87.36423443928437,1.7458551397572166,2.0691159031767894,0.29687608320349546,0.9200400335176626,0.675,4.651590999681503,dynamic_penalty,1.0,2.0
23,20260723,RDHO,1.1593396717650966,86.08306600521448,1.773909858614322,2.051217240542545,0.29689430778603,0.8846215239930043,0.5916666666666667,4.627983400132507,dynamic_penalty,1.0,2.0
