run_id,seed,algorithm,fitness,energy,delay,aoi,qoe,fairness,csr,runtime,experiment,setting,description,weights,w_energy,w_delay,w_aoi,w_qoe,w_fairness
11,20260711,RDHO,1.1974934152086745,90.01158864560679,1.8267434216280936,2.138655312945142,0.3135297703822148,0.9092781939808238,0.625,4.791870499961078,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
12,20260712,RDHO,1.0149363777920477,69.0238697339392,1.847890324622562,2.232202937228723,0.345720508640514,0.91024019007032,0.7333333333333333,4.886345400009304,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
13,20260713,RDHO,0.9678303707114772,53.507334457994354,1.4349388378094976,1.7097327929639068,0.3462069671278612,0.916370675219942,0.7083333333333334,4.764400300104171,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
14,20260714,RDHO,0.9800199341609566,60.34848875080817,1.7028921654179932,2.0473304877816405,0.3587312780550468,0.9033547456843511,0.7166666666666667,4.755620500072837,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
15,20260715,RDHO,0.991194314317602,82.57744256289996,1.6385871352932733,1.992939685592224,0.3340278608886554,0.9054471944136128,0.7416666666666667,4.937106600031257,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
16,20260716,RDHO,1.0475791875188405,95.47383277374064,1.552617216101334,1.872823949572501,0.3175777427230637,0.9072561126583146,0.7166666666666667,4.807831899728626,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
17,20260717,RDHO,1.0815183019751582,60.498224690324726,1.8470199081124168,2.170607196667207,0.3226696694627415,0.9015703967641162,0.7,5.3844173001125455,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
18,20260718,RDHO,1.001517230224746,87.53035673120216,1.581124856186245,1.90892569746473,0.3302282595430916,0.9010057122967108,0.7166666666666667,4.771772599779069,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
19,20260719,RDHO,1.0140012581093143,65.08726952446375,1.6706388698721206,1.9940193363924965,0.3390325659629075,0.886918673497853,0.7166666666666667,4.725757499691099,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
20,20260720,RDHO,0.9496736988165392,92.536892476928,1.5519603226621843,1.88638331893165,0.3375236006458973,0.8917939827974519,0.7666666666666667,4.8541011000052094,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
21,20260721,RDHO,1.0652814563391726,73.77196203144602,1.5458482906674753,1.8795335724553888,0.3343615713365079,0.8996084942036401,0.7166666666666667,4.717556599993259,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
22,20260722,RDHO,1.12928367513302,76.0190845295584,1.7926544894479313,2.1159152528675045,0.2994063130081879,0.921139366371949,0.6666666666666666,4.740558000281453,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
23,20260723,RDHO,1.2747756465390228,76.75842533219415,1.770930689839642,2.048238071767865,0.2952063485707418,0.8811336559440761,0.575,4.966600200161338,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
