task_number,run_id,seed,scenario_id,replicate_id,scenario_seed,algorithm_seed,algorithm,fitness,reported_fitness,base_fitness,search_fitness,penalty_scale,report_penalty_scale,search_penalty,report_penalty,energy_norm,delay_norm,aoi_norm,energy,delay,aoi,qoe,fairness,csr,nfe_used,max_evaluations,runtime
40,6,695305159,6,1,695305159,1933235580,RDHO,0.8664819119595928,0.8664819119595928,0.6331485786262595,2.7331485786262593,9.0,1.0,2.0999999999999996,0.23333333333333328,0.7608854319461916,0.9128743137324445,0.960966210423375,105.2725946122132,1.644646138033666,2.0339544539699177,0.32903412623806716,0.9114003750027763,0.7666666666666667,15011,15050,7.795642599929124
40,7,697553250,7,1,697553250,1935483671,RDHO,1.052618083645188,1.052618083645188,0.7276180836451881,3.652618083645188,9.0,1.0,2.925,0.32499999999999996,0.6506219536121297,1.2554973512310255,1.2454483538799401,74.49323364335643,1.583999816387062,1.8803438531489065,0.31901344944892757,0.9105444819801654,0.675,15011,15050,7.98023570002988
40,8,699801341,8,1,699801341,1937731762,RDHO,0.8082468838052351,0.8082468838052351,0.5749135504719018,2.6749135504719015,9.0,1.0,2.0999999999999996,0.23333333333333328,0.5950380300587741,0.8360731585748082,0.8728983006745565,74.71388569869498,1.5907811145649027,1.965550023893583,0.3378675226503768,0.9194636291818103,0.7666666666666667,15011,15050,8.065371199976653
40,9,702049432,9,1,702049432,1939979853,RDHO,1.1033808421683586,1.1033808421683586,0.761714175501692,3.836714175501692,9.0,1.0,3.075,0.3416666666666667,0.7212483683528592,1.294194374403754,1.2691354333640965,96.38933800863092,1.781917974769699,2.0831241659182904,0.30367474579731707,0.8740425445411603,0.6583333333333333,15011,15050,8.339904199820012
40,10,3782276182,10,1,3782276182,2742404085,RDHO,1.0798330043291986,1.0798330043291986,0.7464996709958651,3.7464996709958656,9.0,1.0,3.0000000000000004,0.33333333333333337,0.8574808643206028,1.1166392746529399,1.2162311722115136,92.65273664646287,1.6240305566899935,1.926977234423645,0.3014076296787093,0.8700507074911668,0.6666666666666666,15011,15050,8.158017099834979
60,1,684064704,1,1,684064704,1921995125,RDHO,1.1024992982158448,1.1024992982158448,0.7469437426602892,3.946943742660289,9.0,1.0,3.1999999999999997,0.3555555555555555,0.6967429577619234,1.24270302318874,1.2730083841446784,124.96901304501162,1.8502357172576436,2.177263791379525,0.2995099431840162,0.8947893820609678,0.6444444444444445,14991,15050,15.035282600205392
60,2,686312795,2,1,686312795,1924243216,RDHO,0.9153854690904677,0.9153854690904677,0.648718802423801,3.048718802423801,9.0,1.0,2.4000000000000004,0.2666666666666667,0.5175953891956961,1.0602623831444222,1.1081796676600888,96.33237752722968,1.7186038083270256,2.035469711797856,0.32652590967867273,0.9118572781582652,0.7333333333333333,14991,15050,13.94059839984402
60,3,688560886,3,1,688560886,1926491307,RDHO,1.0047387506114636,1.0047387506114636,0.6880720839447969,3.5380720839447966,9.0,1.0,2.8499999999999996,0.31666666666666665,0.5502835200317148,1.1915936128057212,1.1507565017319998,108.1977530454473,2.240462229126534,2.584391250482708,0.3139989459833058,0.8994441993255682,0.6833333333333333,14991,15050,11.601320100016892
60,4,690808977,4,1,690808977,1928739398,RDHO,0.91759789155466,0.91759789155466,0.6342645582213267,3.1842645582213267,9.0,1.0,2.55,0.2833333333333333,0.5530920225506096,1.0650740029011603,1.0409427172813586,105.42019246924485,1.692812471430482,2.030921119351648,0.3552539277248021,0.9113416284860398,0.7166666666666667,14991,15050,11.167928100097924
60,5,693057068,5,1,693057068,1930987489,RDHO,0.8966539613166562,0.8966539613166562,0.6466539613166562,2.896653961316656,9.0,1.0,2.25,0.25,0.587537513192439,1.0611549587806688,1.0263726536641642,110.84893880813935,1.8277409275272354,2.176158022606485,0.3396296366580688,0.8840681241905025,0.75,14991,15050,11.327840799931437
