run_id,seed,algorithm,fitness,base_objective,penalty,search_fitness,energy,delay,aoi,qoe,fairness,csr,runtime,nfe,pre_refinement_fitness,local_refinement_gain,experiment,lambda0,alpha
30,20260730,RDHO,0.8667076612463055,0.6083743279129722,0.2583333333333333,1.770874327912972,77.43741578789314,1.5415031134557982,1.846238566787965,0.3451810457924732,0.9432153481740276,0.7416666666666667,4.231988705999811,9112,0.8696256964093705,0.0029180351630649914,dynamic_penalty,0.5,2.0
1,20260701,RDHO,1.0293504905000743,0.696017157166741,0.33333333333333337,5.196017157166742,99.56402908508989,1.6478444046650886,1.9557860006973242,0.3232959822022775,0.9449866272628693,0.6666666666666666,4.243447578000087,9112,1.0369822531616086,0.007631762661534314,dynamic_penalty,0.5,3.0
2,20260702,RDHO,1.1345738740521671,0.784573874052167,0.35,5.509573874052167,78.12302645538568,2.0290631848568106,2.3679447094083415,0.3064757162322922,0.8996555898426559,0.65,4.262620740999864,9112,1.14703760147639,0.012463727424222748,dynamic_penalty,0.5,3.0
3,20260703,RDHO,0.8217310382372289,0.5883977049038956,0.23333333333333328,3.7383977049038952,72.21056475064645,1.5350968433142789,1.8925647940700259,0.3495549199010203,0.9408509622807557,0.7666666666666667,4.286747345000094,9112,0.8301204281411156,0.008389389903886713,dynamic_penalty,0.5,3.0
4,20260704,RDHO,0.9694255820349527,0.6610922487016193,0.30833333333333335,4.82359224870162,78.4294712182608,1.6562341774381402,1.9788388417498584,0.3425478801747738,0.920027088209535,0.6916666666666667,4.341232715999922,9112,0.9723124651190614,0.0028868830841087822,dynamic_penalty,0.5,3.0
5,20260705,RDHO,1.03484577388808,0.7265124405547467,0.30833333333333335,4.8890124405547475,110.52104349192703,1.8688404460956771,2.1896434967556373,0.29723659732566937,0.9566037839696558,0.6916666666666667,4.148887849999937,9112,1.05051703424894,0.015671260360859973,dynamic_penalty,0.5,3.0
6,20260706,RDHO,0.8805042495063556,0.6221709161730223,0.2583333333333333,4.109670916173022,86.88245799691784,1.4368392065553828,1.7390550477249616,0.3276699015071043,0.9307581609198082,0.7416666666666667,4.245388076999916,9112,0.8958033457015764,0.01529909619522074,dynamic_penalty,0.5,3.0
7,20260707,RDHO,0.9074318338452608,0.6324318338452608,0.275,4.344931833845261,75.5730540624855,1.3306829478212923,1.6496661673512267,0.3375575278287327,0.9428234948374433,0.725,4.681454588000179,9112,0.92503933706429,0.017607503219029152,dynamic_penalty,0.5,3.0
8,20260708,RDHO,0.9596165227805231,0.6512831894471898,0.30833333333333335,4.81378318944719,70.69251081569668,1.6411769521486868,1.930685077019034,0.32949647286036965,0.9488275108473114,0.6916666666666667,4.381607507999888,9112,0.9688851964805231,0.009268673699999952,dynamic_penalty,0.5,3.0
9,20260709,RDHO,1.1384406737005883,0.7717740070339216,0.3666666666666667,5.721774007033922,132.18042807092928,1.849421415503753,2.158597738602345,0.2798063595847057,0.9368962625370756,0.6333333333333333,4.279000394000377,9112,1.170714830541657,0.03227415684106871,dynamic_penalty,0.5,3.0
10,20260710,RDHO,0.9303918701304411,0.6637252034637744,0.2666666666666667,4.263725203463775,80.96947311555667,1.9300501657176343,2.3032787997317574,0.33373175647991815,0.9505996472062741,0.7333333333333333,4.193411052999636,9112,0.9495009701766598,0.019109100046218686,dynamic_penalty,0.5,3.0
11,20260711,RDHO,1.06024287397292,0.6935762073062534,0.3666666666666667,5.643576207306253,102.80590300582793,1.7477501755894664,2.0596620669065153,0.31337752531056023,0.9749795902260234,0.6333333333333333,4.446572192000076,9112,1.0841312193804338,0.023888345407513834,dynamic_penalty,0.5,3.0
12,20260712,RDHO,0.9075205683808197,0.640853901714153,0.2666666666666667,4.2408539017141536,79.13647703736984,1.769640118716697,2.153952731322858,0.34264548216857027,0.9540587618308771,0.7333333333333333,4.8224281630000405,9112,0.9154379989887004,0.007917430607880638,dynamic_penalty,0.5,3.0
13,20260713,RDHO,0.8865531714505243,0.5948865047838576,0.29166666666666663,4.532386504783857,59.487034798959485,1.3789726651233132,1.6537666202777228,0.34542254940252326,0.9472322629598016,0.7083333333333334,4.255138590000115,9112,0.8927174450247695,0.006164273574245205,dynamic_penalty,0.5,3.0
14,20260714,RDHO,0.8807732315669125,0.6057732315669124,0.275,4.318273231566913,64.33361145423805,1.6578032569039387,2.002241579267586,0.35933713594085204,0.9480133588546519,0.725,4.205988247999812,9112,0.8826713940679438,0.001898162501031364,dynamic_penalty,0.5,3.0
15,20260715,RDHO,0.8797249340834085,0.6380582674167418,0.2416666666666667,3.900558267416742,80.7632639602494,1.7058178232912282,2.06017037359018,0.3353461649364813,0.9503467233152426,0.7583333333333333,4.397552332000032,9112,0.896540656251476,0.016815722168067593,dynamic_penalty,0.5,3.0
16,20260716,RDHO,0.9270447931466183,0.6520447931466182,0.275,4.364544793146619,99.86672953450602,1.504434176640186,1.8246409101113534,0.31789271941412645,0.9560599115198598,0.725,4.290719258000081,9112,0.9409039667752128,0.013859173628594568,dynamic_penalty,0.5,3.0
17,20260717,RDHO,0.9643109895328957,0.6726443228662291,0.29166666666666663,4.610144322866229,65.1615561985231,1.8091561925606263,2.1327434811154165,0.322660910278964,0.944506007650814,0.7083333333333334,4.2750490499997795,9112,0.9734936020748394,0.009182612541943636,dynamic_penalty,0.5,3.0
18,20260718,RDHO,0.8938482504892064,0.6188482504892063,0.275,4.3313482504892065,92.48981016881261,1.5503609578681428,1.8781617991466277,0.33100639363142664,0.9621224902222077,0.725,4.2267785510002795,9112,0.899071119253815,0.005222868764608646,dynamic_penalty,0.5,3.0
19,20260719,RDHO,0.9216813475027738,0.6383480141694404,0.2833333333333333,4.463348014169441,70.79134350598602,1.6244528025644578,1.9478332690848341,0.33854505152415165,0.9115841178882491,0.7166666666666667,4.531857932000094,9112,0.9445607835498072,0.022879436047033463,dynamic_penalty,0.5,3.0
20,20260720,RDHO,0.8527568308064094,0.6277568308064094,0.22499999999999998,3.665256830806409,104.96613392699336,1.4694660785897549,1.803889074859221,0.3382321826038388,0.9037431845267678,0.775,4.271493556000223,9112,0.8684133883913261,0.015656557584916686,dynamic_penalty,0.5,3.0
21,20260721,RDHO,0.9412646219056222,0.6579312885722889,0.2833333333333333,4.4829312885722885,83.09231948218658,1.4612310494064515,1.7949163311943654,0.3333694314357944,0.959967283837372,0.7166666666666667,4.270125315999849,9112,0.9481491705655586,0.006884548659936374,dynamic_penalty,0.5,3.0
22,20260722,RDHO,1.0152321688887973,0.6985655022221307,0.31666666666666665,4.97356550222213,85.94313806645137,1.749999986730181,2.073260750149754,0.29679882559876136,0.9355946791391732,0.6833333333333333,4.771842060999916,9112,1.0398335146460307,0.024601345757233384,dynamic_penalty,0.5,3.0
